country,continent,population,gdp_per_capita,life_expectancy,internet_users_pct,year
Ireland,Europe,11.3,28054.0,86.0,99.0,2023
Country_021,South America,43.6,200.0,69.6,87.6,2016
Belarus,Europe,12.5,53758.0,74.2,97.8,2018
Latvia,Europe,31.6,24744.0,81.5,95.0,2023
Tanzania,Africa,15.7,200.0,62.1,44.1,2025
 Norway,Europe,16.9,15616.0,68.5,76.7,2016
Uruguay,South America,0.2,18776.0,,99.0,2013
Italy,Europe,15.3,39732.0,83.3,89.2,2022
Zambia,Africa,0.2,3889.0,57.4,13.9,2012
Italy,EUROPE,14.9,7291.0,81.3,91.4,2023
Country_028,Oceania,2.8,11992.0,82.1,72.8,2012
bosnia and herzegovina,Europe,39.1,36751.0,75.4,98.5,2023
Jordan,Asia,35.5,10359.0,62.4,64.7,2012
Country_010,South America,17.6,13148.0,84.9,60.0,2022
Pakistan,Asia,0.2,8481.0,74.2,61.2,2015
Country_018,Africa,0.2,200.0,65.5,27.3,2013
United States,North America,32.2,45207.0,83.5,59.9,2024
Kenya,Africa,6.4,6404.0,59.8,14.4,2023
El Salvador,North America,28.9M,35595.0,74.5,93.2,2011
Costa Rica,North America,0.2,,75.0,89.8,2011
Russia,EUROPE,0.2,35659.0,77.6,84.7,2023
Zimbabwe,Africa,31.3,200.0,50.1,58.1,2024
Singapore,Asia,118.0,5014.0,71.8,54.4,2024
Nicaragua,North America,,50462.0,78.4,99.0,2016
Egypt,Africa,0.2,,,30.2,2022
South Sudan,Africa,14.5,4121.0,,28.7,2020
Philippines,Asia,0.2,1417.0,,,2012
Ethiopia,Africa,24.8,4432.0,65.5,4.6,2021
Rwanda,Africa,27.0,2200.0,,32.2,2017
Country_028,Oceania,8.5,30465.0,83.3,86.6,2020
Iraq,Asia,0.2,15917.0,78.5,55.2,2023
Niger,Africa,0.2,3967.0,57.6,41.5,2023
Country_018,Africa,54.9,5060.0,65.6,32.9,2017
Bahrain,Asia,218.5,,73.3,57.7,2024
Bosnia and Herzegovina,Europe,0.2,2155.0,79.3,85.3,2021
Luxembourg,Europe,14.0,15759.0,81.6,83.0,2016
Country_004,Oceania,0.2,55320.0,78.5,85.0,2022
COUNTRY_005,Africa,0.2,1036.0,66.2,26.1,2018
Sudan,Africa,,5569.0,60.4,63.7,2015
Kuwait,Asia,0.2,11630.0,72.6,43.2,2025
Country_025,Africa,23.9,5922.0,69.1,30.5,2012
Paraguay,south america,36.4,11887.0,76.8,77.9,2025
Slovakia,Europe,10.7,,,87.8%,2010
Colombia,South America,63.7,25073.0,80.7,66.8,2022
Country_014,Africa,104.2,200.0,65.1,51.9,2022
Eritrea,Africa,40.5,1573.0,63.1,39.5,2016
Madagascar,Africa,0.2,3824.0,,49.0%,2015
Singapore,Asia,31.6,5474.0,72.6,31.9,2012
Country_028,Oceania,13.2,66759.0,81.5,88.1,2022
Syria,Asia,,9794.0,63.1,58.2,2018
Malta,Europe,34.0,37294.0,80.9,81.9,2023
Zambia,Africa,80.8,200.0,58.1,30.7,2025
Country_025,Africa,93.4,6938.0,73.0,40.5,2017
Malaysia,Asia,200.6,,71.3,83.3,2014
Angola,Africa,35.3,2870.0,63.9,9.2,2014
Ghana,Africa,0.2,8521.0,60.0,20.4,2023
Country_023,Africa,34.8,2461.0,54.0,17.8,2013
Poland,Europe,0.2,23903.0,83.5,70.3,2014
Zambia,Africa,0.2,3595.0,63.2,31.2,2018
  South sudan,Africa,0.2,4544.0,65.5,25.4,2023
Qatar,Asia,115.9,18812.0,75.7,67.9,2017
Uruguay,South America,0.2,238.0,75.5,91.2,2025
Iraq,Asia,0.2,1444.0,75.9,1.0,2014
Austria,Europe,21.0,26971.0,85.0,72.6,2018
Sweden,Europe,0.2,,82.2,90.4,2015
Luxembourg,Europe,0.2,200.0,82.0,89.5,2022
Uruguay,South America,0.2,7444.0,81.0,96.9,2015
Sudan,Africa,52.4,2453.0,61.7,45.4,2018
Greece,Europe,,36440.0,83.2,70.2,2019
Eswatini,Africa,57.9,4061.0,,18.3,2025
Cameroon,Africa,20.0,"5,719",71.6,62.2,2024
Country_009,Europe,49.9,48338.0,77.0,67.3,2015
Hungary,Europe,29.5,31808.0,82.0,88.5,2025
Iran,Asia,103.7,4305.0,62.0,28.3,2024
Nicaragua,North America,23.0,41686.0,75.3,69.4,2018
Country_016,North America,0.2,46404.0,71.8,69.6,2014
Malta,Europe,0.2,38062.0,78.6,89.9,2013
Zambia,Africa,80.8,200.0,58.1,30.7,2025
Country_013,Asia,0.2,961.0,69.8,54.7,2023
Cameroon,Africa,0.2,1809.0,54.5,5.2,2011
Peru,South America,0.2,7147.0,75.9,73.6,2014
Angola,Africa,74.6,2790.0,62.5,8.4,2011
Haiti,North Am.,,43583.0,73.2,71.0,2025
Croatia,Europe,42.3,34979.0,78.4,86.9,2024
Ivory Coast  ,Africa,38.7,1449.0,76.4,44.2,2024
Denmark,Europe,12.3,33283.0,80.9,64.2,2012
Lithuania,Europe,35.6,,81.6,,2017
Bulgaria,Europe,34.1,24931.0,82.1,93.8,2020
SOUTH SUDAN,Africa,,430.0,45.0,29.8,2018
Zambia,Africa,0.2,2588.0,49.9,1.0,2017
Dominican Republic,North America,,,80.1,93.6,2011
UAE,Asia,0.2,,69.6,57.9,2020
Morocco,Africa,,200,69.2,34.9,2013
Uruguay,South America,29.1,17210.0,72.1,99.0,2020
Switzerland,Europe,,24178.0,83.7,76.2,2014
Peru,South Am.,26.0,10863.0,74.4,58.6,2025
Eritrea,Africa,22.4,4018.0,56.7,32.0,2017
Israel,Asia,85.0,4747.0,,99.0,2025
Country_004,Oceania,0.2,10687.0,81.0,67.2,2023
Switzerland,Europe,,22328.0,80.1,90.0%,2016
Bosnia and Herzegovina,Europe,17.2,41465.0,79.4,97.7,2024
Country_010,South America,1.8,8593.0,72.1,92.9,2013
Switzerland,Europe,0.2,13889.0,78.2,78.1,2015
Lithuania,Europe,12.3,15060.0,74.3,76.7,2010
Saudi Arabia,Asia,235.0,5704.0,69.3,90.4,2017
Turkey,Asia,200.6,13833.0,73.7,40.3,2020
Finland,Europe,24.1,41863.0,82.5,78.2,2016
Uruguay,South America,31.7,200.0,66.7,64.9,2022
Haiti,North America,0.2,37317.0,81.0,79.5,2014
Canada,North America,51.5,30080.0,78.9,,2021
Greece,Europe,24.3,,77.7,96.0,2018
Ghana,Africa,47.4,1857.0,50.5,37.1,2012
Country_009,Eu rope,17.3,37512.0,82.2,77.5,2022
United Kingdom,Europe,33.0,29456.0,80.5,73.1,2018
Belize,North America,33.5,36676.0,76.4,,2025
Mozambique,Africa,0.2,2998.0,64.1,33.8,2019
Canada,North America,0.2,23022.0,,67.7,2011
Country_028,Oceania,0.2,38347.0,76.3,80.1%,2021
Namibia,Africa,0.2,1451.0,67.9,51.2,2019
India,Asia,,20183.0,80.0,48.7,2015
Country_014,Africa,28.6,5944.0,66.8,26.4,2021
Paraguay,South America,63.2,7167.0,80.7,83.4,2022
Eswatini,Africa,57.7,5289.0,65.4,22.2,2016
Botswana,Africa,0.2,3120.0,57.1,22.5,2024
Uruguay,South America,28.0,12380.0,79.1,60.0,2021
Libya,Africa,67.5,745.0,53.2,25.8,2022
Country_029,South America,1.4,30822.0,79.8,58.7,2013
Fiji,Oceania,,42597.0,86.0,83.1,2013
Croatia,Europe,25.4,24589.0,77.2,73.0,2012
Lebanon,Asia,0.2,8976.0,71.6,66.2,2023
North Korea,Asia,104.4,13614.0,77.1,37.6,2013
Iceland,Europe,23.1,,78.0,60.3,2015
Poland,Europe,17.8,49089.0,80.2,90.9,2015
South Korea,Asia,149.8,200.0,82.9,78.6,2013
Nigeria,Africa,38.2,1699.0,61.2,21.3,2017
Jamaica,North America,38.2,24747.0,72.4,72.8,2021
Nepal,Asia,0.2,15489.0,62.0,23.6,2012
Morocco,Africa,0.2,6557.0,52.7,70.7,2011
Ivory Coast,Africa,61.3,200.0,68.9,32.3,2016
Country_001,Europe,0.2,35402.0,80.5,,2023
Singapore,Asia,0.2,4593.0,67.7,,2011
Saudi Arabia,Asia,0.2,15909.0,72.9,9.8,2022
South Korea,Asia,168.3,1685.0,69.5,43.2,2019
Czechia,Europe,47.3,40274.0,76.0,,2022
Angola,Africa,17.7,6645.0,64.2,1.0,2017
Trinidad and Tobago,North America,38.4,30114.0,78.3,80.0,2015
South Africa,Africa,33.6,1744.0,52.5,13.5,2016
Country_021,South America,17.7,10887.0,71.0,57.5,2025
Suriname,South America,0.2,14067.0,70.2,50.2,2023
 North Korea,Asia,0.2,10873.0,76.7,45.9,2015
Bosnia and Herzegovina,Europe,26.9,18600.0,75.8,,2025
Singapore,ASIA,0.2,200.0,67.8,36.2,2022
Mexico,North America,23.7,51017.0,75.7,81.3,2019
 Country_013,Asia,182.6,200.0,81.7,,2016
Switzerland,Europe,,31684.0,79.2,91.7,2019
Austria,Europe,13.4,17678.0,86.0,76.6,2014
Burundi,Africa,4.4,200.0,60.0,1.4,2018
Peru,South America,28.4,$12395,79.7,87.0,2015
Papua New Guinea,Oceania,16.7,36472.0,80.6,82.2,2023
Bolivia,South America,32.9,15754.0,70.3,66.2,2015
Qatar,Asia,0.2,200.0,72.0,57.6,2013
 Poland,Europe,23.1,24360.0,78.0,84.5,2017
Country_008,Africa,86.6,5713.0,60.7,37.2,2016
Italy,Europe,0.2,37675.0,84.2,74.9,2020
Paraguay,South America,16.2,19317.0,78.4,74.9,2023
Senegal,Africa,25.6,3930.0,73.3,,2012
Senegal,AFRICA,32.7,5166.0,68.2,52.1,2017
Switzerland,Eu rope,13.0,40458.0,81.2,86.5,2025
Country_018,Africa,38.2,,67.3,,2011
Burundi,Africa,0.2,1770.0,57.9,18.7,2025
Tanzania,Africa,,1578.0,55.2,24.0,2013
Country_031,South America,0.2,12654.0,71.2,53.4,2014
Czechia,Eu rope,36.9,26502.0,75.7,85.2,2013
Uruguay,South America,25.6,,70.0,94.1,2011
Madagascar,Africa,19.3,9311.0,60.8,8.7,2010
Spain,Europe,22.9,29218.0,77.0,92.0,2014
Madagascar,Africa,0.2,200.0,62.1,43.4,2025
Malta,Europe,15.1,35044.0,79.1,77.1,2021
SOUTH KOREA,Asia,365.7,200.0,74.1,29.6,2025
Chile,South Am.,75.2,4750.0,72.8,76.6,2013
Thailand,Asia,0.2,5933.0,76.0,96.0,2015
 Country_001,Europe,20.1,34128.0,79.9,90.9,2013
Singapore,Asia,0.2,200.0,,45.8,2023
El Salvador,North America,20.1,75204.0,74.2,70.6,2024
Country_015,Africa,69.3,5617.0,55.3,28.3,2025
Country_015,Africa,29.6,3256.0,,31.6,2015
Country_017,North America,0.2,32762.0,73.6,88.1,2022
Country_013,Asia,0.2,9613.0,,59.5,2017
Iraq,Asia,143.2,14659.0,80.6,44.2,2015
Ghana,Africa,18.7,3136.0,63.3,50.9,2014
Venezuela,South America,0.2,27081.0,74.5,72.4,2024
Country_012,South America,28.4,,68.3,88.5,2023
Sweden,Europe,36.9,29059.0,78.8,96.7,2016
Zimbabwe,Africa,0.2,200.0,,73.5,2016
Luxembourg,Europe,17.3,23593.0,76.6,78.6,2013
Tunisia,Africa,52.9,200.0,59.7,32.0,2019
Trinidad and Tobago,North America,71.4,55708.0,75.9,88.5,2010
South Africa,Africa,17.5,200.0,52.0,23.3,2025
Country_031,South America,9.8,7893.0,78.7,72.3,2015
Suriname,South America,0.2,6775.0,75.6,62.0,2018
Japan,Asia,2.1,200.0,66.9,91.7,2023
Country_004,Oceania,21.3,,78.6,82.8,2016
Ghana,Africa,0.2,200.0,51.7,40.9,2020
Iceland,Eu rope,28.7M,22485.0,81.4,89.9,2022
Belgium,Europe,0.2,33393.0,86.0,92.8,2015
Denmark,Europe,29.5,34411.0,78.1,96.8,2023
Country_024,South America,66.7,13879.0,69.0,66.5,2019
Country_025,Africa,39.8,200.0,55.2,33.4,2018
Country_029,South America,0.2,8243.0,74.8,65.0,2025
Yemen,Asia,169.0,8916.0,65.2,31.3,2011
Norway,Europe,43.2,42612.0,84.0,99.0,2018
Eswatini,Africa,,4097.0,68.3,51.4,2019
Country_016,North America,51.9,,81.1,85.6,2019
Hungary,Europe,0.2,35743.0,85.2,93.8,2018
Fiji,oce ania,19.4,60925.0,80.3,75.1,2021
Albania,Europe,13.1,29266.0,78.2,99.0,2016
Poland,Europe,0.2,7982.0,85.7,88.6,2022
Finland,Europe,6.5,,76.5,,2023
Cyprus,Europe,13.0,36843.0,81.5,82.0,2020
Dominican Republic,North America,23.6,77905.0,72.3,89.9,2017
Country_015,Africa,27.8,1449.0,56.5,42.3,2018
Country_003,North America,,57878.0,79.0,89.0,2016
New Zealand,Oceania,10.0,24514.0,79.0,92.7,2010
Country_005,Africa,56.6,5394.0,57.2,35.7,2019
Philippines,Asia,277.3,7168.0,77.5,50.8,2024
Australia,Oceania,11.1,46550.0,83.6,88.1,2020
Israel,Asia,0.2,15867.0,74.0,1.0,2013
Country_032,South Am.,,22504.0,74.3,61.0%,2010
Niger,Africa,14.0,5362.0,67.5,52.5,2016
Argentina,South America,66.9,,85.7,59.0,2019
Algeria,Africa,31.9,1656.0,69.8,24.1,2010
 Lithuania,Europe,0.2,49157.0,81.0,99.0,2013
Burundi,Africa,59.9,1088.0,,40.4,2016
South Africa,Africa,0.2,4122.0,68.0,77.7,2015
Cameroon,Africa,56.4,4310.0,54.9,31.1,2013
Burundi,Africa,57.7,200.0,60.3,,2010
Ivory Coast,Africa,0.2,200.0,64.6,22.7,2021
Finland,Europe,0.2,34088.0,74.7,88.0,2025
Country_001,Europe,11.0,17382.0,85.0,93.0,2024
North Macedonia,Europe,1.5,37379.0,80.9,94.0,2018
Country_004,Oceania,1.6,29301.0,79.1,79.4,2025
